STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1950-05,510.6,234,8,5,0,0,0,0,0,31,21,16.1,0,0,68.6,36.1,205.4,0,103.4,0,25.9,32.9,18.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1950-06,813.9,303.3,12,9,0,0,0,0,0,30,30,18.3,0,0,24.6,37.2,205.4,0,108.7,0,28.4,35.3,21.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1950-07,1103.1,289.2,16,12,0,0,0,0,0,31,26,20,0,0,33.5,36.1,0,0,120,0,27.7,33.6,21.7
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1950-08,1400.1,297,17,14,0,0,0,0,0,31,27,20.6,0,0,48.3,35.6,0,0,163,0,27.9,33.8,22.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1950-09,1651.1,251,11,8,0,0,0,0,0,30,16,18.3,0,0,185.2,35,0,0,391.6,0,26.7,31.7,21.7
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1950-10,1853,201.9,6,4,0,0,0,0,0,31,3,15.6,0,0,68.3,32.2,0,0,174,0,24.9,30,19.7
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1950-11,1906.3,53.3,2,2,0,0,0,4,0,23,0,-2.2,0,0,2.5,30.6,82.6,82.6,5,0,17.4,24.4,10.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1950-12,1911.3,5,8,6,0,0,0,2,0,15,0,-0.6,0,0,26.2,26.1,219.2,136.6,109,0,14.1,20.4,7.7
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1951-01,13,13,3,2,0,0,0,1,0,21,0,0,0,0,13.7,28.3,309.2,90,17,0,15.8,22.9,8.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1951-02,28.8,15.8,2,2,0,0,0,1,0,21,0,-1.7,0,0,35.1,29.4,394.4,85.2,43,0,15.9,23.4,8.3
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1951-03,98.2,69.4,5,3,0,0,0,0,0,28,0,5,0,0,20.6,30.6,426.9,32.5,34.3,0,19.5,26.3,12.8
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1951-04,176,77.8,10,6,0,0,0,0,0,27,0,6.7,0,0,50.8,31.7,444.7,17.8,175.9,0,20.3,26.8,13.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1951-05,,,9,6,0,0,,,,,,,0,0,21.6,,,,74.5,0,,,
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1951-06,,273.4,11,9,0,0,0,0,0,30,25,15.6,0,0,46.2,36.7,,0,179.4,0,27.4,34,20.9
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1951-07,,307.5,13,11,0,0,0,0,0,31,28,20.6,0,0,48.8,37.2,0,0,195.8,0,28.3,34.4,22.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1951-08,,338.2,16,10,0,0,0,0,0,31,30,21.7,0,0,27.2,37.2,0,0,119.2,0,29.2,35.3,23.2
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1951-09,,286.6,14,11,0,0,0,0,0,30,26,18.9,0,0,83.3,36.1,0,0,239.2,0,27.9,33.8,22
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1951-10,,200.1,8,4,0,0,0,0,0,31,10,12.2,0,0,17.5,34.4,0,0,42,0,24.8,30.5,19.1
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1951-11,,49.3,5,3,0,0,0,0,0,23,0,1.7,0,0,105.2,31.1,64.4,64.4,120,0,17.8,24.1,11.6
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1951-12,,47,10,5,0,0,0,0,0,28,0,1.7,0,0,17.5,28.9,101.8,37.4,50.9,0,18.6,24.9,12.4
USC00081641,"CLERMONT 9 S, FL US",28.4558,-81.7234,39.6,1952-01,33.7,33.7,3,3,0,0,0,0,0,23,0,1.7,0,0,17,28.9,167.7,65.9,26.9,0,17.3,23.9,10.6
