,Year,Count,Cost,Event,Mean
0,1980,1,33.5,Drought,6.314634146341463
1,1981,0,0.0,Drought,6.314634146341463
2,1982,0,0.0,Drought,6.314634146341463
3,1983,1,7.9,Drought,6.314634146341463
4,1984,0,0.0,Drought,6.314634146341463
5,1985,0,0.0,Drought,6.314634146341463
6,1986,1,4.3,Drought,6.314634146341463
7,1987,0,0.0,Drought,6.314634146341463
8,1988,1,45.0,Drought,6.314634146341463
9,1989,1,6.5,Drought,6.314634146341463
10,1990,0,0.0,Drought,6.314634146341463
11,1991,1,5.8,Drought,6.314634146341463
12,1992,0,0.0,Drought,6.314634146341463
13,1993,1,2.3,Drought,6.314634146341463
14,1994,0,0.0,Drought,6.314634146341463
15,1995,1,1.7,Drought,6.314634146341463
16,1996,1,3.0,Drought,6.314634146341463
17,1997,0,0.0,Drought,6.314634146341463
18,1998,1,5.7,Drought,6.314634146341463
19,1999,1,3.9,Drought,6.314634146341463
20,2000,1,7.7,Drought,6.314634146341463
21,2001,0,0.0,Drought,6.314634146341463
22,2002,1,13.2,Drought,6.314634146341463
23,2003,1,7.2,Drought,6.314634146341463
24,2004,0,0.0,Drought,6.314634146341463
25,2005,1,2.0,Drought,6.314634146341463
26,2006,1,7.9,Drought,6.314634146341463
27,2007,1,4.6,Drought,6.314634146341463
28,2008,1,8.6,Drought,6.314634146341463
29,2009,1,4.3,Drought,6.314634146341463
30,2010,0,0.0,Drought,6.314634146341463
31,2011,1,14.1,Drought,6.314634146341463
32,2012,1,34.5,Drought,6.314634146341463
33,2013,1,11.8,Drought,6.314634146341463
34,2014,1,4.4,Drought,6.314634146341463
35,2015,1,5.0,Drought,6.314634146341463
36,2016,1,3.8,Drought,6.314634146341463
37,2017,1,2.6,Drought,6.314634146341463
38,2018,1,3.1,Drought,6.314634146341463
39,2019,0,0.0,Drought,6.314634146341463
40,2020,1,4.5,Drought,6.314634146341463
0,1980,1,2.4,Flooding,3.6829268292682933
1,1981,0,0.0,Flooding,3.6829268292682933
2,1982,0,0.0,Flooding,3.6829268292682933
3,1983,2,8.3,Flooding,3.6829268292682933
4,1984,0,0.0,Flooding,3.6829268292682933
5,1985,1,3.3,Flooding,3.6829268292682933
6,1986,0,0.0,Flooding,3.6829268292682933
7,1987,0,0.0,Flooding,3.6829268292682933
8,1988,0,0.0,Flooding,3.6829268292682933
9,1989,0,0.0,Flooding,3.6829268292682933
10,1990,1,2.1,Flooding,3.6829268292682933
11,1991,0,0.0,Flooding,3.6829268292682933
12,1992,0,0.0,Flooding,3.6829268292682933
13,1993,1,38.1,Flooding,3.6829268292682933
14,1994,1,1.8,Flooding,3.6829268292682933
15,1995,1,4.3,Flooding,3.6829268292682933
16,1996,1,1.7,Flooding,3.6829268292682933
17,1997,2,10.9,Flooding,3.6829268292682933
18,1998,1,1.5,Flooding,3.6829268292682933
19,1999,0,0.0,Flooding,3.6829268292682933
20,2000,1,1.4,Flooding,3.6829268292682933
21,2001,0,0.0,Flooding,3.6829268292682933
22,2002,0,0.0,Flooding,3.6829268292682933
23,2003,0,0.0,Flooding,3.6829268292682933
24,2004,0,0.0,Flooding,3.6829268292682933
25,2005,0,0.0,Flooding,3.6829268292682933
26,2006,1,2.0,Flooding,3.6829268292682933
27,2007,0,0.0,Flooding,3.6829268292682933
28,2008,1,12.2,Flooding,3.6829268292682933
29,2009,0,0.0,Flooding,3.6829268292682933
30,2010,2,4.9,Flooding,3.6829268292682933
31,2011,2,5.9,Flooding,3.6829268292682933
32,2012,0,0.0,Flooding,3.6829268292682933
33,2013,2,2.9,Flooding,3.6829268292682933
34,2014,1,1.1,Flooding,3.6829268292682933
35,2015,2,5.0,Flooding,3.6829268292682933
36,2016,4,17.5,Flooding,3.6829268292682933
37,2017,2,3.4,Flooding,3.6829268292682933
38,2018,0,0.0,Flooding,3.6829268292682933
39,2019,3,20.3,Flooding,3.6829268292682933
40,2020,0,0.0,Flooding,3.6829268292682933
0,1980,0,0.0,Freeze,0.7487804878048782
1,1981,1,1.7,Freeze,0.7487804878048782
2,1982,0,0.0,Freeze,0.7487804878048782
3,1983,1,5.3,Freeze,0.7487804878048782
4,1984,0,0.0,Freeze,0.7487804878048782
5,1985,1,3.0,Freeze,0.7487804878048782
6,1986,0,0.0,Freeze,0.7487804878048782
7,1987,0,0.0,Freeze,0.7487804878048782
8,1988,0,0.0,Freeze,0.7487804878048782
9,1989,1,4.3,Freeze,0.7487804878048782
10,1990,1,6.9,Freeze,0.7487804878048782
11,1991,0,0.0,Freeze,0.7487804878048782
12,1992,0,0.0,Freeze,0.7487804878048782
13,1993,0,0.0,Freeze,0.7487804878048782
14,1994,0,0.0,Freeze,0.7487804878048782
15,1995,0,0.0,Freeze,0.7487804878048782
16,1996,0,0.0,Freeze,0.7487804878048782
17,1997,0,0.0,Freeze,0.7487804878048782
18,1998,1,4.0,Freeze,0.7487804878048782
19,1999,0,0.0,Freeze,0.7487804878048782
20,2000,0,0.0,Freeze,0.7487804878048782
21,2001,0,0.0,Freeze,0.7487804878048782
22,2002,0,0.0,Freeze,0.7487804878048782
23,2003,0,0.0,Freeze,0.7487804878048782
24,2004,0,0.0,Freeze,0.7487804878048782
25,2005,0,0.0,Freeze,0.7487804878048782
26,2006,0,0.0,Freeze,0.7487804878048782
27,2007,2,4.4,Freeze,0.7487804878048782
28,2008,0,0.0,Freeze,0.7487804878048782
29,2009,0,0.0,Freeze,0.7487804878048782
30,2010,0,0.0,Freeze,0.7487804878048782
31,2011,0,0.0,Freeze,0.7487804878048782
32,2012,0,0.0,Freeze,0.7487804878048782
33,2013,0,0.0,Freeze,0.7487804878048782
34,2014,0,0.0,Freeze,0.7487804878048782
35,2015,0,0.0,Freeze,0.7487804878048782
36,2016,0,0.0,Freeze,0.7487804878048782
37,2017,1,1.1,Freeze,0.7487804878048782
38,2018,0,0.0,Freeze,0.7487804878048782
39,2019,0,0.0,Freeze,0.7487804878048782
40,2020,0,0.0,Freeze,0.7487804878048782
0,1980,0,0.0,Severe Storm,6.982926829268293
1,1981,1,1.2,Severe Storm,6.982926829268293
2,1982,2,2.6,Severe Storm,6.982926829268293
3,1983,0,0.0,Severe Storm,6.982926829268293
4,1984,2,2.6,Severe Storm,6.982926829268293
5,1985,0,0.0,Severe Storm,6.982926829268293
6,1986,1,1.3,Severe Storm,6.982926829268293
7,1987,0,0.0,Severe Storm,6.982926829268293
8,1988,0,0.0,Severe Storm,6.982926829268293
